ID,answer
0,"The granularity should be low because we want to know whether users overall will click more on the ad, not how individual users will click on it. The attribution period should be long (around 30 days) because there might be cases where users are not familiar with the new location and click on it by mistake at first, which might make the data inaccurate.
"
1,"Agree because it is collecting data from multiple users and is checked by clicking ads, so there are only two possible cases: click or not click."
2,"Granularity should be #checkout events/ #cookies because we want to see how many times a person clicks, cookies will get the same person, and it works for a non login attribution period of about 2 days because not all products are of interest to us, so we need to allow time for the user to find products they like."
3,"Agree. Let X~Binomial(N,p), where p is the ratio of the user clicking ad, be able to test whether p_treatment &gt; p_control or not."
4,"Agreed, because A/B Testing is an effective way to measure the effect of interesting changes between two options (A and B) without affecting other variables, which is similar to Hamtaro&#39;s case of testing an ad placement move. Using A/B Testing, we can clearly and immediately measure whether changing ad placements has an effect on sales."
5,Hamtaro should use A/B testing for testing because A/B testing allows us to see the difference in sales between moving and not moving the ad at the same time.
6,The click-through period and total views are set to 1 day because it shows how many viewers clicked on the ad compared to the total viewers.
7,"Granularity in A/B testing on Hamtube ad placement migration refers to the choice of measuring values such as clicks at the top. Attribution period is the time period set to track user activity after seeing an ad. The length of the attribution period should be set appropriately to the nature of your business and product, such as 7 days or 30 days, to obtain complete data and effectively compare results."
8,"Because A/B testing is about comparing the results of changing just one thing, in this case, the ad position, A/B testing is the right way to experiment."
9,"The 50/50 model can collect samples quickly, but the problems that may occur from the new experimental model will affect half of the users. The 80/20 model will affect a small number of users, not much impact on the platform, making it safer. But it also slows down the sample collection. For hamtube, I think the change in the placement of the ad will not affect the users who watch the video that much. But if hamtube has a revenue sharing with the users who upload the video, this experiment may affect them. If there is no sharing, I think doing a 50/50 sharing to collect samples quickly so that the business can make more profit. It will be a good choice for investors who want to see the business grow quickly. If there is, I think doing the 50/50 again because if the sample collection is fast, the decision can be made quickly as well."
10,"50/50 Advantages: Get information quickly. Disadvantages: High risk because if users do not like the new system (ads that move positions), it may affect the business. 80/20 Advantages: Lower risk because there are few users who will be affected if it is not good. Disadvantages: It will take a long time to collect information. Choose 80/20 because Hamtube is the number 1 famous platform in the universe, so a bad user experience can have a huge impact on Hamtube&#39;s business."
11,"A/B testing is useful for Hamtaro to test ad placements for the following main reasons: Data-driven decision making: It allows Hamtaro to make decisions based on real data from the results of the experiment, not just guesswork. Reduce risk: If a new ad placement doesn&#39;t work, it can revert to the old one. Understand users: It helps to understand user behavior and preferences better. Improve user experience: It can help users have a better experience with the platform."
12,"The 50/50 ratio is very risky because 50% of users will see the new format ads. If the new format is not good, users may not like it and stop using Hamtube. And with a ratio of 50%, it is very risky. But with a high ratio, we can quickly know which is better, the new or the old one. While the 80/20 ratio is low risk because if the new format is not good, we will lose only 20% of users. But because the ratio is low, we cannot quickly measure which is better. We may have to experiment again by increasing the ratio for the new format to be more certain. Think of Hamtube as a big platform and the purpose of using the app is not to watch ads. Therefore, there is no need to rush to collect data and no need to rush to take a big risk. Therefore, we should use the 80/20 ratio."
13,Hamtaro should use A/B testing because A/B testing can accurately measure the effect of ad placement shifts (if the split ratio is appropriate) by dividing the sample into two groups and testing.
14,"Agree, because this experiment is a Bernoulli distribution (there are only clicks on ads and no clicks), where each Bernoulli belongs to a specific user, and when combined, each user is independent, making it a Binomial distribution."
15,Agree because the position of the ad affects the chance of the ad being clicked. 
16,"Granularity should be the number of ad clicks per ad impression, because if the repositioning really works better, the ratio of granularity should also increase (more people click). Attribution period should be short, such as 30 seconds, based on the ad duration of around 30 seconds to see that if users really like to watch the ad, they should click from the moment they see it. Therefore, the attribution period should not be long."
17,"It should be because A/B testing allows Hamtaro to test the effect of a single change (in this case, the ad position) by comparing it to a control group that makes no changes (but you have to choose the right metric to measure, such as using click-through rate as the metric according to the problem)."
18,"50/50 may give faster results but there is a risk that most viewers will dislike the new format and it will affect the overall ad. Therefore, 80/20 is recommended because it is less risky and analysis has shown that 80/20 gives better results."
19,Agree because the possibility of clicking on an ad is just a click or a non-click.
20,"50/50: Collect data faster, but with higher risk because if the new layout is much worse, there will be more effective users and it will affect the ad revenue. 80/20: Collect data slower because the new layout that is only seen by 20% will require a lot of people to reach the target, but with lower risk because we can stop the experiment if we see any problems, be it bugs or the layout itself is not good. 80/20 is more suitable because it affects important stakeholders such as the people who buy ads directly. If there is a mistake, it will reduce the credibility of our product with the people who buy ads, causing people to buy less."
21,"Granularity -&gt; If Hamtaro wants to examine how moving an ad&#39;s location affects clicks from users in different areas of the site. So, a high granularity (e.g. by site area) might be a good choice, as it gives Hamtaro a detailed understanding of the impact of moving an ad&#39;s location across all areas. However, if Hamtaro chooses too high a granularity, he might miss out on important information that could influence his decision. Attribution Period -&gt; A short period of time (e.g. 7 days), as Hamtaro wants to know how users react immediately after seeing an ad in a new location."
22,Agree. The reasons are: 1. Easy to understand. 2. The result (click or not click) is binary. 3. Efficiency and speed of calculation due to the large data size.
23,"The number of times users see the ad because we will test how many clicked the ad from all users who saw it. The attribution period should be about 1 week because if it is too long, the number of clicks may decrease. However, if it is too short, the data may not be reliable."
24,"Granularity should be the number of users who click on ads and have an attribution period of 1 day. The granularity is chosen as the number of users because it is a measure that matches the objective of increasing sales and can be easily done in practice, such as installing Google Analytics. The period is 1 day because if the time is too short, you may get biased data such as branding or if it is too long, it may be caused by users clicking randomly without intending to."
25,"50/50 Quick conclusion in exchange for high risk that if B is worse than A, it will result in a disadvantage from the fact that A is already good. 80/20 Slow conclusion in exchange for low risk that if B is worse than A, it will result in a disadvantage from the fact that A is already good. 50/50 Hamtaro wants fast results and is willing to accept the risk."
26,"50/50 ratio: It helps to see the results quickly whether they are good or bad, but it has a higher risk than 80/20 that if you change it, the results will not be good, it may result in lower sales. 80/20 ratio: It has a relatively low risk because it is rare to see a new change. If we know that it is not good, it can be easily fixed. But the disadvantage is that it takes a long time to see the results of the new ad position. For the problem that is being found, the 80/20 ratio test may be a better choice because it will help to see the trend of change faster, while still maintaining careful work. But finally, the observation that requires time effectively must be analyzed to be reliable and fair in order to know whether the new version is really good.
"
27,"Hamtaro should use A/B testing because it allows Hamtaro to experiment with changes without having a significant impact on Hamtube users immediately if they don&#39;t get the results they expected after they&#39;re done, and it also helps to clearly see if the changes have an effect on more clicks on your ads."
